item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,8306532873099.0,7189696899993.0,6625395359470.0,6210809668170.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1525814342927.0,1123253891417.0,1705197767269.0,1575010493581.0
Tiền,Cash,cash,723615027859.0,623253891417.0,1305197767269.0,736510493581.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,802199315068.0,500000000000.0,400000000000.0,838500000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,2777632909591.0,2395000000000.0,1617500000000.0,1199000000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,3222426993915.0,2932320109135.0,2713742700168.0,2806177509312.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,2044940189126.0,1545983202930.0,1836825716646.0,1898063859057.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,736224268601.0,915366489965.0,409235727763.0,332122193646.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,631678062234.0,649210284195.0,621572654770.0,666627059135.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-190415526046.0,-178239867955.0,-153891399011.0,-90635602526.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,622381143981.0,555833211148.0,424971712679.0,508572360324.0
Hàng tồn kho,Inventories,inventories,626093481342.0,559457360184.0,428595861715.0,517880426204.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-3712337361.0,-3624149036.0,-3624149036.0,-9308065880.0
Tài sản lưu động khác,Other current assets,other_current_assets,158277482685.0,183289688293.0,163983179354.0,122049304953.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,158277482685.0,157539492852.0,157967897422.0,122049304953.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,0.0,19441759060.0,211774248.0,0.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,0.0,6308436381.0,5803507684.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,1481102484666.0,1516502385968.0,1560149495199.0,1572101630603.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,0.0,0.0,0.0,0.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,0.0,0.0,0.0,0.0
