item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,13748695638698.0,13821465851430.0,13701485517767.0,12359235870047.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,3332914950758.0,4004397142803.0,3045832588034.0,3356120292119.0
Tiền,Cash,cash,498571535832.0,869424246306.0,371188871413.0,333163499527.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,2834343414926.0,3134972896497.0,2674643716621.0,3022956792592.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,4039778374899.0,3844711848989.0,4651697807437.0,3650601171553.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,733142581787.0,733142581787.0,1085462540235.0,1181295023351.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,-1222029298.0,-188048798.0,-188048798.0,-563851798.0
Các khoản phải thu,Accounts receivable,accounts_receivable,4433353750231.0,4366377353463.0,4191906734821.0,3801027090768.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,2555227795355.0,2972635910798.0,3077036371013.0,2449510536247.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,1081119518820.0,688984850085.0,413769802270.0,453740492621.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,951664616507.0,818766489315.0,696477226006.0,845390400792.0
Phải thu khác,Other receivables,other_receivables,400876958963.0,443053803365.0,585324013920.0,543218456103.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-555535139414.0,-557063700100.0,-580700678388.0,-490832794995.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,1686646912829.0,1393235561820.0,1523627823536.0,1291160053507.0
Hàng tồn kho,Inventories,inventories,1746130544497.0,1452649644609.0,1583041906325.0,1387241086117.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-59483631668.0,-59414082789.0,-59414082789.0,-96081032610.0
Tài sản lưu động khác,Other current assets,other_current_assets,256001649981.0,212743944355.0,288420563939.0,260327262100.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,44543076131.0,42862594459.0,14895657161.0,24487300439.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,185564947117.0,144978405885.0,265008771212.0,210932558940.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,25893626733.0,24902944011.0,8516135566.0,24907402721.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,27453114502954.0,26919527114127.0,26373366190770.0,25906761167467.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,37727006876.0,34684637076.0,107672573473.0,105833033764.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,37727006876.0,34684637076.0,34748273473.0,32072933764.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,0.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,15492733584071.0,15792380846971.0,14129557344272.0,14386472451373.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,15424343405943.0,15723279105449.0,14059147815133.0,14317156409754.0
Nguyên giá TSCĐ hữu hình,Cost,cost,25686794158172.0,25679110543363.0,23730768683275.0,23717924232012.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-10262450752229.0,-9955831437914.0,-9671620868142.0,-9400767822258.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,0.0,0.0,0.0,0.0
Nguyên giá tài sản thuê tài chính,Cost,cost,0.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,68390178128.0,69101741522.0,70409529139.0,69316041619.0
Nguyên giá TSCĐ vô hình,Cost,cost,100572874411.0,100012859411.0,100012859411.0,97552859411.0
Khấu hao lũy kế TSCĐ vô hình,Accumulated depreciation,accumulated_depreciation,-32182696283.0,-30911117889.0,-29603330272.0,-28236817792.0
Xây dựng cơ bản đang dang dở (trước 2015),Construction in progress (before 2015),construction_in_progress_before_2015,0.0,0.0,0.0,0.0
