item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,20566631877915.0,22698656269601.0,24110345573464.0,22987166161941.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1725903154728.0,2131861697543.0,2346804744577.0,2539195390197.0
Tiền,Cash,cash,1010261376819.0,1591455150385.0,1428996626112.0,740057873546.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,715641777909.0,540406547158.0,917808118465.0,1799137516651.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,8087510885835.0,7786830798415.0,2881579436814.0,2767427022422.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,5177171787525.0,6832394565339.0,12330736833932.0,12154434174175.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,3055813039121.0,3560698438770.0,3050665866358.0,2763269171551.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,1718217455530.0,1839673908302.0,1513762111934.0,1659407673143.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,3216523156.0,6602668849.0,0.0
Phải thu khác,Other receivables,other_receivables,849856447275.0,2260204833012.0,2251802122419.0,1994941171769.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-446715154401.0,-833055404763.0,-632093055622.0,-527345140654.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,5070012747225.0,5517163393184.0,6099838034324.0,5203584171560.0
Hàng tồn kho,Inventories,inventories,5104573317209.0,5922959439877.0,6135371128717.0,5237735762106.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-34560569984.0,-405796046693.0,-35533094393.0,-34151590546.0
Tài sản lưu động khác,Other current assets,other_current_assets,506033302602.0,430405815120.0,451386523817.0,322525403587.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,16689976822.0,27177614369.0,46684274864.0,32852078139.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,286380710022.0,304218782820.0,315301538341.0,206949056970.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,11876873976.0,28153566547.0,18544859228.0,11713617494.0
Tài sản lưu động khác,Other current assets,other_current_assets,191085741782.0,70855851384.0,70855851384.0,71010650984.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,7332306143391.0,7768955297410.0,7419541787385.0,6033367330313.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,21176748130.0,14828526898.0,16752351586.0,6968049070.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,21714398120.0,14828526898.0,16752351586.0,6968049070.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,-537649990.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,3271768715292.0,4020472031972.0,4436579038424.0,3247583943394.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,3172432318572.0,3892028391895.0,4302054721762.0,3134350256523.0
Nguyên giá TSCĐ hữu hình,Cost,cost,5616664258819.0,6608971536944.0,6944631734380.0,5409149071927.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-2444231940247.0,-2716943145049.0,-2642577012618.0,-2274798815404.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,86982525108.0,89153531494.0,94812751512.0,104522260147.0
Nguyên giá tài sản thuê tài chính,Cost,cost,187695252077.0,184717272596.0,184717272596.0,195659015021.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,-100712726969.0,-95563741102.0,-89904521084.0,-91136754874.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,12353871612.0,39290108583.0,39711565150.0,8711426724.0
Nguyên giá TSCĐ vô hình,Cost,cost,24544735434.0,57038067990.0,56897642065.0,19662250250.0
Khấu hao lũy kế TSCĐ vô hình,Accumulated depreciation,accumulated_depreciation,-12190863822.0,-17747959407.0,-17186076915.0,-10950823526.0
Xây dựng cơ bản đang dang dở (trước 2015),Construction in progress (before 2015),construction_in_progress_before_2015,0.0,0.0,0.0,0.0
Giá trị ròng tài sản đầu tư,Investment properties,investment_properties,183326765981.0,1005990901523.0,312481309732.0,458517191576.0
Nguyên giá tài sản đầu tư,Cost,cost,629689301355.0,1550735962881.0,852585658988.0,909220623323.0
Khấu hao lũy kế tài sản đầu tư,Accumulated depreciation,accumulated_depreciation,-446362535374.0,-544745061358.0,-540104349256.0,-450703431747.0
Đầu tư dài hạn,Long-term investments,long_term_investments,1773674371955.0,731589789328.0,710840829075.0,706275194897.0
Đầu tư vào các công ty con,Investments in subsidiaries,investments_in_subsidiaries,0.0,0.0,0.0,0.0
Đầu tư vào các công ty liên kết,Investments in associates,investments_in_associates,1448356158619.0,483477644034.0,480022535619.0,550153325748.0
Đầu tư dài hạn khác,Other long-term investments,other_long_term_investments,325759709211.0,313513376594.0,291616376594.0,203603759211.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,provision_for_long_term_investments,-52998606533.0,-65401231300.0,-62448083138.0,-48831890062.0
Lợi thế thương mại (trước 2015),Goodwill (before 2015),goodwill_before_2015,0.0,0.0,0.0,0.0
Tài sản dài hạn khác,Other long-term assets,other_long_term_assets,201599050778.0,271931807855.0,262438823285.0,234124475109.0
Trả trước dài hạn,Long-term prepayments,long_term_prepayments,138167543949.0,163766896464.0,154990095594.0,128926788074.0
Thuế thu nhập hoãn lại,Deferred income tax assets,deferred_income_tax_assets,63327870465.0,58788115251.0,107345091327.0,103802361445.0
Các tài sản dài hạn khác,Other long-term assets,other_long_term_assets,103636364.0,49376796140.0,103636364.0,103636364.0
TỔNG CỘNG TÀI SẢN,Total Assets,total_assets,27898938021306.0,30467611567011.0,31529887360849.0,29020533492254.0
NỢ PHẢI TRẢ,Liabilities,liabilities,15472750798431.0,17616987154613.0,18953671977805.0,16753205585725.0
Nợ ngắn hạn,Current liabilities,current_liabilities,13305782847371.0,15200772822730.0,15910620965371.0,13878073282507.0
Vay ngắn hạn,Short-term borrowings,short_term_borrowings,4116013576538.0,5241366890657.0,5247207204095.0,4740643230930.0
Phải trả người bán,Trade accounts payable,trade_accounts_payable,2850801500101.0,3307258756913.0,3453968086422.0,2174319100426.0
Người mua trả tiền trước,Advances from customers,advances_from_customers,2824396524553.0,3509629665634.0,3682302811931.0,3022780118514.0
Thuế và các khoản phải trả Nhà nước,Taxes and other payable to State Budget,taxes_and_other_payable_to_state_budget,148286026683.0,127701429350.0,984083855339.0,913216386916.0
Phải trả người lao động,Payable to employees,payable_to_employees,311704969916.0,289398857770.0,356063950612.0,235063255935.0
Chi phí phải trả,Accrued expenses,accrued_expenses,1142497286109.0,1194025743040.0,915467923543.0,1598816424142.0
Phải trả nội bộ,Intercompany payables,intercompany_payables,0.0,0.0,0.0,0.0
Phải trả về xây dựng cơ bản,Construction contract in progress payables,construction_contract_in_progress_payables,0.0,0.0,0.0,0.0
Phải trả khác,Other payables,other_payables,1080169308125.0,1345210023748.0,1065567546550.0,977337646396.0
Dự phòng các khoản phải trả ngắn hạn,Provision for ST liabilities,provision_for_st_liabilities,142774188387.0,75175719486.0,50699922768.0,32498695379.0
"Quỹ khen thưởng, phúc lợi",Bonus and welfare funds,bonus_and_welfare_funds,58928710102.0,59458060151.0,60672840151.0,58993474087.0
Nợ dài hạn,Long-term liabilities,long_term_liabilities,2166967951060.0,2416214331883.0,3043051012434.0,2875132303218.0
Phải trả nhà cung cấp dài hạn,Long-term trade payables,long_term_trade_payables,4288536625.0,5495849054.0,586050573.0,84368000.0
Phải trả nội bộ dài hạn,Long-term intercompany payables,long_term_intercompany_payables,0.0,474165616671.0,0.0,0.0
Phải trả dài hạn khác,Other long-term payables,other_long_term_payables,95234240000.0,54830512869.0,243618705810.0,912696691.0
Vay dài hạn,Long-term borrowings,long_term_borrowings,1583684849632.0,1844575544628.0,2172644957258.0,2393745488430.0
Thuế thu nhập hoãn lại,Deferred income tax liabilities,deferred_income_tax_liabilities,3436892436.0,17690533803.0,14273885160.0,2436892436.0
Dự phòng trợ cấp thôi việc,Provision for severance allowances,provision_for_severance_allowances,0.0,0.0,0.0,0.0
Dự phòng các khoản nợ dài hạn,Provision for long-term liabilities,provision_for_long_term_liabilities,19786596138.0,19456274858.0,19334557551.0,19915885971.0
Doanh thu chưa thực hiện,Deferred revenue,deferred_revenue,460536836229.0,0.0,428525730360.0,432609583990.0
Quỹ phát triển khoa học công nghệ,Technology-science development fund,technology_science_development_fund,0.0,0.0,0.0,0.0
Vốn chủ sở hữu,Owner's Equity,owners_equity,12426187222875.0,12850624412398.0,12576215383044.0,12267327906529.0
Vốn và các quỹ,Capital and reserves,capital_and_reserves,12426187222875.0,12850624412398.0,12489781396659.0,12180728014762.0
Vốn góp,Paid-in capital,paid_in_capital,6464683360000.0,6464683360000.0,6464683360000.0,6464683360000.0
Thặng dư vốn cổ phần,Share premium,share_premium,16282327575.0,16282327575.0,16282327575.0,16282327575.0
Vốn khác,Owner's other capital,owners_other_capital,320199053673.0,320212920285.0,233802893000.0,233802893000.0
Cổ phiếu quỹ,Treasury shares,treasury_shares,0.0,0.0,0.0,0.0
Chênh lệch đánh giá lại tài sản,Differences upon asset revaluation,differences_upon_asset_revaluation,0.0,0.0,0.0,0.0
Chênh lệch tỷ giá,Foreign exchange differences,foreign_exchange_differences,0.0,11312653.0,0.0,0.0
Quỹ đầu tư và phát triển,Investment and development funds,investment_and_development_funds,40113516094.0,40113516094.0,40113516094.0,40113516094.0
Quỹ dự phòng tài chính,Financial reserve funds,financial_reserve_funds,0.0,0.0,0.0,0.0
Quỹ khác,Other funds,other_funds,38753394.0,14777294.0,14777294.0,14777294.0
Lãi chưa phân phối,Undistributed earnings,undistributed_earnings,4527963168771.0,4848222042964.0,4762581140148.0,4518753386906.0
Quỹ hỗ trợ sắp xếp doanh nghiệp,Enterprise arrangement fund,enterprise_arrangement_fund,0.0,0.0,0.0,0.0
Vốn Ngân sách nhà nước và quỹ khác,Budget sources and other funds,budget_sources_and_other_funds,0.0,0.0,86433986385.0,86599891767.0
"Quỹ khen thưởng, phúc lợi (trước 2010)",Bonus and welfare funds (Before 2010),bonus_and_welfare_funds_before_2010,0.0,0.0,0.0,0.0
Vốn ngân sách nhà nước và quỹ khác,Budget sources and other funds,budget_sources_and_other_funds,0.0,0.0,86433986385.0,86599891767.0
Lợi ích của cổ đông thiểu số,Minority interests (Before 2015),minority_interests_before_2015,0.0,0.0,0.0,0.0
Tổng cộng nguồn vốn,Total resource,total_resource,27898938021306.0,30467611567011.0,31529887360849.0,29020533492254.0
Cổ phiếu ưu đãi,Preferred shares,preferred_shares,0.0,0.0,0.0,0.0
Đầu tư nắm giữ đến ngày đáo hạn,Held-to-maturity investment,held_to_maturity_investment,7692731932945.0,7895399271773.0,2881579436814.0,2767427022422.0
Vốn kinh doanh ở các đơn vị trực thuộc,Paid-in capital in wholly-owned subsidiaries,paid_in_capital_in_wholly_owned_subsidiaries,0.0,0.0,0.0,0.0
Tài sản thiếu cần xử lý,Shortage of current assets waiting for solution,shortage_of_current_assets_waiting_for_solution,0.0,1656266862.0,474197336.0,0.0
Phải thu cho vay ngắn hạn,Short-term loans receivables,short_term_loans_receivables,0.0,0.0,6139522922658.0,6264161298366.0
Giao dịch mua bán lại trái phiếu Chính phủ,Government bonds purchased for resale,government_bonds_purchased_for_resale,0.0,0.0,0.0,0.0
Trả trước người bán dài hạn,Long-term prepayments to suppliers,long_term_prepayments_to_suppliers,0.0,0.0,0.0,0.0
Phải thu cho vay dài hạn,Long-term loans receivables,long_term_loans_receivables,0.0,0.0,0.0,0.0
Tài sản dở dang dài hạn,Long-term incomplete assets,long_term_incomplete_assets,1880760491255.0,1724142239834.0,1680449435283.0,1379898476267.0
"Chi phí sản xuất, kinh doanh dở dang dài hạn",Long-term cost of work in progress,long_term_cost_of_work_in_progress,98401738504.0,96289306652.0,96289306652.0,96279669518.0
Đầu tư nắm giữ đến ngày đáo hạn,Held-to-maturity investment,held_to_maturity_investment,52557110658.0,0.0,1650000000.0,1350000000.0
"Thiết bị, vật tư, phụ tùng thay thế dài hạn","Long-term equipment, material and spare parts",long_term_equipment_material_and_spare_parts,0.0,0.0,0.0,0.0
Doanh thu chưa thực hiện ngắn hạn,Short-term unrealized revenue,short_term_unrealized_revenue,23112629509.0,46689091021.0,94586823960.0,124404949782.0
Quỹ bình ổn giá,Price stabilization fund,price_stabilization_fund,0.0,0.0,0.0,0.0
Giao dịch mua bán lại trái phiếu chính phủ,Government bonds purchased for resale,government_bonds_purchased_for_resale,0.0,0.0,0.0,0.0
Người mua trả tiền trước dài hạn,Long-term advances from customers,long_term_advances_from_customers,0.0,0.0,0.0,0.0
Chi phí phải trả dài hạn,Long-term accrued expenses,long_term_accrued_expenses,0.0,0.0,164067125722.0,25427387700.0
Phải trả nội bộ về vốn kinh doanh,Intra-company payables for operating capital received,intra_company_payables_for_operating_capital_received,0.0,0.0,0.0,0.0
Trái phiếu chuyển đổi,Convertible bonds,convertible_bonds,0.0,0.0,0.0,0.0
Cổ phiếu ưu đãi,Preferred shares,preferred_shares,0.0,0.0,0.0,0.0
Cổ phiếu phổ thông,Common shares,common_shares,6464683360000.0,6464683360000.0,6464683360000.0,6464683360000.0
Quyền chọn chuyển đổi trái phiếu,Conversion options on convertible bonds,conversion_options_on_convertible_bonds,0.0,0.0,0.0,0.0
LNST chưa phân phối lũy kế đến cuối kỳ trước,Beginning accumulated undistributed earnings,beginning_accumulated_undistributed_earnings,3977870754091.0,4481393054449.0,829743344653.0,829743344652.0
LNST chưa phân phối kỳ này,Current period undistributed earnings,current_period_undistributed_earnings,550092414680.0,366828988515.0,3932837795495.0,3689010042254.0
Xây dựng cơ bản đang dở dang,Construction in progress,construction_in_progress,1782358752751.0,1627852933182.0,1584160128631.0,1283618806749.0
Lợi thế thương mại,Goodwill,goodwill,0.0,0.0,0.0,1291689226.0
Lợi ích cổ đông không kiểm soát,Minority interests,minority_interests,1056907043368.0,1161084155533.0,972303382548.0,907077753893.0
Nguồn kinh phí đã hình thành TSCĐ,Funds used for fixed asset acquisitions,funds_used_for_fixed_asset_acquisitions,0.0,0.0,0.0,0.0
