item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,12744463114617.0,11248414243666.0,10261026515094.0,12676292999849.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1315461301508.0,3647877566971.0,2626720406458.0,2736490134477.0
Tiền,Cash,cash,994532596562.0,2689813780618.0,1589797640496.0,1407311771606.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,320928704946.0,958063786353.0,1036922765962.0,1329178362871.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,4858686387768.0,2182062986435.0,2227521440564.0,3569352063943.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,657858782311.0,1079697023.0,4235749976.0,2227235709976.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,-1050000000.0,-1050000000.0,-1903532742.0,-1835471392.0
Các khoản phải thu,Accounts receivable,accounts_receivable,1973359266600.0,1804372412716.0,1862721769062.0,2344124837848.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,1803244024543.0,1525253292857.0,1708309100894.0,2139292630246.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,82578243570.0,109343370921.0,103064804460.0,124016384792.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,117663800275.0,197424148885.0,68458987924.0,83814312293.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-30126801788.0,-27648399947.0,-60417645463.0,-64314397730.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,4289493971260.0,3374440065249.0,3268418928075.0,3771356112292.0
Hàng tồn kho,Inventories,inventories,4305543217742.0,3395101866457.0,3296917919238.0,3807432543167.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-16049246482.0,-20661801208.0,-28498991163.0,-36076430875.0
Tài sản lưu động khác,Other current assets,other_current_assets,197974046973.0,170737113757.0,275643970935.0,254969851289.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,39368303181.0,42076432871.0,39407520453.0,42526740081.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,151460076634.0,120157710887.0,220381238896.0,198150494677.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,7145667158.0,8502969999.0,15855211586.0,14292616531.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,3942294763184.0,3965800733421.0,5333847030872.0,5210327495126.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,9910511284.0,9869826484.0,13756160866.0,24324161520.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,9910511284.0,9869826484.0,13756160866.0,10933877520.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,0.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,2882924483711.0,2898439407581.0,3850747196133.0,3906036412364.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,1725816707024.0,1734129472866.0,2271620378482.0,2309141028249.0
Nguyên giá TSCĐ hữu hình,Cost,cost,4242428682281.0,4185467064986.0,5244527512516.0,5255496777889.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-2516611975257.0,-2451337592120.0,-2972907134034.0,-2946355749640.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,10792753627.0,11203247467.0,11613741307.0,7943317780.0
Nguyên giá tài sản thuê tài chính,Cost,cost,12071633015.0,12071633015.0,12071633015.0,8681061214.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,-1278879388.0,-868385548.0,-457891708.0,-737743434.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,1146315023060.0,1153106687248.0,1567513076344.0,1588952066335.0
Nguyên giá TSCĐ vô hình,Cost,cost,1634340551395.0,1628198738429.0,2315117531047.0,2314636331048.0
Khấu hao lũy kế TSCĐ vô hình,Accumulated depreciation,accumulated_depreciation,-488025528335.0,-475092051181.0,-747604454703.0,-725684264713.0
Xây dựng cơ bản đang dang dở (trước 2015),Construction in progress (before 2015),construction_in_progress_before_2015,0.0,0.0,0.0,0.0
Giá trị ròng tài sản đầu tư,Investment properties,investment_properties,394665936114.0,395205385692.0,414073730772.0,414932843392.0
Nguyên giá tài sản đầu tư,Cost,cost,418012943365.0,417890998903.0,443429780385.0,444097925821.0
Khấu hao lũy kế tài sản đầu tư,Accumulated depreciation,accumulated_depreciation,-23347007251.0,-22685613211.0,-29356049613.0,-29165082429.0
Đầu tư dài hạn,Long-term investments,long_term_investments,26061735380.0,26061735380.0,26061735380.0,26061735380.0
Đầu tư vào các công ty con,Investments in subsidiaries,investments_in_subsidiaries,0.0,0.0,0.0,0.0
Đầu tư vào các công ty liên kết,Investments in associates,investments_in_associates,0.0,0.0,0.0,0.0
Đầu tư dài hạn khác,Other long-term investments,other_long_term_investments,26061735380.0,26061735380.0,26061735380.0,26061735380.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,provision_for_long_term_investments,0.0,0.0,0.0,0.0
Lợi thế thương mại (trước 2015),Goodwill (before 2015),goodwill_before_2015,0.0,0.0,0.0,0.0
Tài sản dài hạn khác,Other long-term assets,other_long_term_assets,570214109890.0,589508323143.0,779033233325.0,604236676822.0
Trả trước dài hạn,Long-term prepayments,long_term_prepayments,516023719719.0,518849889598.0,663127844568.0,511602297089.0
Thuế thu nhập hoãn lại,Deferred income tax assets,deferred_income_tax_assets,10373385032.0,23016652754.0,60161979345.0,31916646763.0
Các tài sản dài hạn khác,Other long-term assets,other_long_term_assets,43817005139.0,47641780791.0,0.0,1241814000.0
TỔNG CỘNG TÀI SẢN,Total Assets,total_assets,16686757877801.0,15214214977087.0,15594873545966.0,17886620494975.0
NỢ PHẢI TRẢ,Liabilities,liabilities,7570206232200.0,5580391336563.0,6517553615580.0,9231276266214.0
