item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
LỢI NHUẬN TRƯỚC THUẾ,NET PROFIT/(LOSS) BEFORE TAX,net_profit_loss_before_tax,1528966041130.0,1593431914504.0,1003195760696.0,1834918059122.0
Khấu hao tài sản cố định,Depreciation and amortization,depreciation_and_amortization,24723596436.0,24105386567.0,24572455035.0,24987098754.0
Các khoản dự phòng,Provisions,provisions,14958904.0,-41408857330.0,-556252226.0,-41410099639.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện",Unrealized foreign exchange gain/(loss),unrealized_foreign_exchange_gain_loss,3467204632.0,-4665092630.0,-9126335302.0,-287511076.0
"Lãi, lỗ hoạt động đầu tư",Profit/(loss) from investing activities,profit_loss_from_investing_activities,-62293397841.0,-132431995793.0,-147027598085.0,-7268755079.0
Chi phí lãi vay,Interest expense,interest_expense,812246659829.0,707403814318.0,790254214308.0,686978549811.0
Dự thu lãi và cổ tức,Interest income and dividend,interest_income_and_dividend,-1690094007424.0,-1543081884560.0,-1641729238342.0,-1596758235672.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Operating profit/(loss) before changes in WC,operating_profit_loss_before_changes_in_wc,-3394486732359.0,-1533108754413.0,12348576018654.0,-10873387862768.0
"(-) Tăng, (+) giảm các khoản phải thu khác",Increase/(decrease) in receivables,increase_decrease_in_receivables,2032663089284.0,-274832139999.0,-1060441672138.0,-681791764196.0
Tăng/giảm hàng tồn kho (Trước năm 2016),Increase/(decrease) in inventories (Before 2016),increase_decrease_in_inventories_before_2016,0.0,0.0,0.0,0.0
"(+) Tăng, (-) giảm các khoản phải trả, phải nộp khác",(Increase)/decrease in payables,increase_decrease_in_payables,-281007079830.0,166621221971.0,-384458326785.0,-343722500559.0
Tăng/giảm chi phí trả trước,Increase/(decrease) in prepaid expenses,increase_decrease_in_prepaid_expenses,9592748073.0,16501206553.0,-39504343733.0,-17236387825.0
Tiền lãi vay đã trả,Interest paid,interest_paid,-848155063727.0,-677264930086.0,-805147657080.0,-649301891523.0
Thuế TNDN CTCK đã nộp,Business Income Tax paid,business_income_tax_paid,-282342204129.0,-547915277388.0,-18733034250.0,-228578476364.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,other_receipts_from_operating_activities,1538329525919.0,1381032880445.0,1646677862197.0,1743129214528.0
Tiền chi khác cho hoạt động kinh doanh,Other payments on operating activitie,other_payments_on_operating_activitie,-3333908292.0,-80547376324.0,-9079150356.0,-3420538096.0
Lưu chuyển thuần từ hoạt động kinh doanh,Net cash inflows/(outflows) from operating activities,net_cash_inflows_outflows_from_operating_activities,-2791898509237.0,-1058707466231.0,12386454293605.0,-9891532668940.0
"Tiền chi để mua sắm, xây dựng TSCĐ, BĐSĐT và các tài sản dài hạn khác",Purchases of fixed assets and other long term assets,purchases_of_fixed_assets_and_other_long_term_assets,-45008816324.0,-49747762229.0,-64737274762.0,-69930578748.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ, BĐSĐT và các tài sản dài hạn khác",Proceeds from disposal of fixed assets,proceeds_from_disposal_of_fixed_assets,0.0,2701039000.0,0.0,0.0
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác (Trước năm 2016)","Loans granted, purchases of debt instruments (Before 2016)",loans_granted_purchases_of_debt_instruments_before_2016,0.0,0.0,0.0,0.0
"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (Trước năm 2016)","Collection of loans, proceeds from sales of debts instruments (Before 2016)",collection_of_loans_proceeds_from_sales_of_debts_instruments_before_2016,0.0,0.0,0.0,0.0
"Tiền chi đầu tư góp vốn vào công ty con, công ty liên doanh, liên kết và đầu tư khác",Investments in other entities,investments_in_other_entities,-275000000000.0,0.0,-2296293285000.0,0.0
"Tiền thu hồi các khoản đầu tư góp vốn vào công ty con, công ty liên doanh, liên kết và đầu tư khác",Proceeds from divestment in other entities,proceeds_from_divestment_in_other_entities,500000000000.0,320000000000.0,663432648916.0,0.0
Tiền thu về cổ tức lợi nhuận được chia từ các khoản đầu tư tài chính dài hạn,Dividends and interest received,dividends_and_interest_received,58788184932.0,25296657534.0,33796841520.0,37680000000.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Net cash inflows/(outflows) from investing activities,net_cash_inflows_outflows_from_investing_activities,238779368608.0,298249934305.0,-1663801069326.0,-32250578748.0
"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",Proceeds from issue of shares,proceeds_from_issue_of_shares,100000000000.0,6227744370000.0,-388186704.0,3256525367200.0
"Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",Payments for share returns and repurchases,payments_for_share_returns_and_repurchases,0.0,0.0,0.0,0.0
Tiền vay gốc,Proceeds from borrowings,proceeds_from_borrowings,70406731279418.0,87961857892268.0,72703698002599.0,126511601637601.0
Tiền chi trả nợ gốc vay,Repayment of borrowings,repayment_of_borrowings,-68340826267180.0,-96156672483203.0,-77958806685420.0,-122338738255967.0
Tiền chi trả nợ thuê tài chính,Finance lease principal payments,finance_lease_principal_payments,0.0,0.0,0.0,0.0
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",Dividends paid,dividends_paid,-83442000.0,-145817000.0,-2075166697000.0,-27762000.0
Lưu chuyển thuần từ hoạt động tài chính,Net cash inflows/(outflows) from financing activities,net_cash_inflows_outflows_from_financing_activities,2165821570238.0,-1967216037935.0,-7330663566525.0,7429360986834.0
LƯU CHUYỂN TIỀN THUẦN TRONG KỲ,NET CASH INFLOWS/(OUTFLOWS),net_cash_inflows_outflows,-387297570391.0,-2727673569861.0,3391989657754.0,-2494422260854.0
TIỀN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN ĐẦU KỲ,CASH AND CASH EQUIVALENTS AT THE BEGINNING OF PERIOD,cash_and_cash_equivalents_at_the_beginning_of_period,918819193257.0,3646492763118.0,254503105364.0,2748925366218.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Effect of foreign exchange differences,effect_of_foreign_exchange_differences,550475657.0,-364696569.0,582358256.0,274603487.0
TIỀN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN CUỐI KỲ,CASH AND CASH EQUIVALENTS AT THE END OF PERIOD,cash_and_cash_equivalents_at_the_end_of_period,531521622866.0,918819193257.0,3646492763118.0,254503105364.0
Tăng/giảm chứng khoán kinh doanh (Trước năm 2016),Increase/(decrease) in trading securities (Before 2016),increase_decrease_in_trading_securities_before_2016,0.0,0.0,0.0,0.0
Phân bổ lợi thế thương mại,Amortization of goodwill,amortization_of_goodwill,0.0,0.0,0.0,0.0
Các khoản điều chỉnh khác,Other adjustments,other_adjustments,126383494.0,552134978.0,-365178641.0,294751647.0
Tiền vay Quỹ Hỗ trợ thanh toán,Loans from Settlement Assistance Fund received,loans_from_settlement_assistance_fund_received,0.0,0.0,0.0,0.0
Tiền vay khác,Other loans received,other_loans_received,70406731279418.0,87961857892268.0,72703698002599.0,126511601637601.0
Tiền chi trả gốc vay Quỹ Hỗ trợ thanh toán,Loans Principal repaid to Settlement Assistance Fund,loans_principal_repaid_to_settlement_assistance_fund,0.0,0.0,0.0,0.0
Tiền chi trả nợ gốc vay tài sản tài chính,Financial assets loans principal repaid,financial_assets_loans_principal_repaid,0.0,0.0,0.0,0.0
Tiền chi trả gốc nợ vay khác,Other Loans principal repaid,other_loans_principal_repaid,-68340826267180.0,-96156672483203.0,-77958806685420.0,-122338738255967.0
"Tiền mặt, tiền gửi ngân hàng đầu kỳ",Cash and bank deposit at the beginning of the period,cash_and_bank_deposit_at_the_beginning_of_the_period,868132073764.0,1174624884052.0,165739357805.0,136580691224.0
Tiền gửi ngân hàng cho hoạt động CTCK,Bank deposit for the Securities company activities,bank_deposit_for_the_securities_company_activities,0.0,0.0,0.0,0.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,50136643836.0,2472232575635.0,88181389303.0,2612070071507.0
"Tiền mặt, tiền gửi ngân hàng kỳ",Cash and bank deposit during the period,cash_and_bank_deposit_during_the_period,530844251548.0,868132073764.0,1174041421382.0,165739357805.0
Tiền gửi ngân hàng cho hoạt động CTCK,Bank deposit for the Securities company activities,bank_deposit_for_the_securities_company_activities,0.0,0.0,0.0,0.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,50136643836.0,2472232575635.0,88181389303.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Effect of changes in foreign currency exchange rates,effect_of_changes_in_foreign_currency_exchange_rates,677371318.0,550475657.0,218766101.0,582358256.0
Tiền thu bán chứng khoán môi giới cho khách hàng,Cash inflow from securities sales broking,cash_inflow_from_securities_sales_broking,137131920775920.0,172842757876050.0,186617368373204.0,257223870928914.0
Tiền chi mua chứng khoán môi giới cho khách hàng,Cash outflow from securities purchase broking,cash_outflow_from_securities_purchase_broking,-135908485321781.0,-173284554120165.0,-194741417935365.0,-268120577976950.0
Tiền thu bán chứng khoán ủy thác của khách hàng,Cash inflow from mandated securities sales,cash_inflow_from_mandated_securities_sales,0.0,0.0,0.0,0.0
Tiền chi bán chứng khoán ủy thác của khách hàng,Cash outflow from mandated securities sales,cash_outflow_from_mandated_securities_sales,0.0,0.0,0.0,0.0
Thu tiền từ tài khoản vãng lai của khách hàng (Trước năm 2016),Cash inflow from current account of clients (Before 2016),cash_inflow_from_current_account_of_clients_before_2016,0.0,0.0,0.0,0.0
Chi tiền từ tài khoản vãng lai của khách hàng (Trước năm 2016),Cash outflow from current account of clients (Before 2016),cash_outflow_from_current_account_of_clients_before_2016,0.0,0.0,0.0,0.0
Thu vay Quỹ Hỗ trợ thanh toán,Cash inflow on loan from Settlement Assistance Fund,cash_inflow_on_loan_from_settlement_assistance_fund,0.0,0.0,0.0,0.0
Chi trả vay Quỹ Hỗ trợ thanh toán,Cash outflow on repaying loans from Settlement Assistance Fund,cash_outflow_on_repaying_loans_from_settlement_assistance_fund,0.0,0.0,0.0,0.0
Nhận tiền gửi để thanh toán giao dịch chứng khoán của khách hàng,Cash received for the purpose of transaction of clients,cash_received_for_the_purpose_of_transaction_of_clients,555511032003850.0,538405644486370.0,513966491959604.0,593710277360915.0
Nhận tiền gửi của Nhà đầu tư cho hoạt động ủy thác đầu tư của khách hàng,Cash received for the purpose of mandated investment of clients,cash_received_for_the_purpose_of_mandated_investment_of_clients,-55051921740.0,117438422535.0,-22738446292.0,17290783916.0
Chi trả phí lưu ký chứng khoán của khách hàng,Cash paid for depository fee of clients,cash_paid_for_depository_fee_of_clients,-16296439043.0,-14371306581.0,-16016800828.0,-15222018417.0
Thu lỗi giao dịch chứng khoán,Cash received on securities transactions errors,cash_received_on_securities_transactions_errors,0.0,0.0,0.0,0.0
Chi lỗi giao dịch chứng khoán,Cash paid on securities transaction errors,cash_paid_on_securities_transaction_errors,0.0,0.0,0.0,0.0
Tiền thu của Tổ chức phát hành chứng khoán,Cash received from issuing organizations,cash_received_from_issuing_organizations,1269825015000.0,2705206363000.0,428366435500.0,324060267000.0
