item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,5270641157392.0,4998438783128.0,4916016146912.0,5195816443912.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,25494895203.0,49235923770.0,153004638105.0,150677551214.0
Tiền,Cash,cash,25478253314.0,48491589695.0,142212112328.0,140173429859.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,16641889.0,744334075.0,10792525777.0,10504121355.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,11497987653.0,21465657653.0,43073929193.0,40739559250.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,17817000000.0,17817000000.0,17817000000.0,17817000000.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,-13462150000.0,-12294480000.0,-11423510000.0,-13441520000.0
Các khoản phải thu,Accounts receivable,accounts_receivable,520314251129.0,579821562962.0,446418857128.0,595981869769.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,262961778057.0,308211876102.0,211088313470.0,189772590117.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,147795668475.0,160943389589.0,136407375220.0,48156933031.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,266274944599.0,256962314781.0,246817173111.0,501282803475.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-156718140002.0,-146296017510.0,-147894004673.0,-143230456854.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,4379541500777.0,4311732620135.0,4241946683698.0,4351637239896.0
Hàng tồn kho,Inventories,inventories,4384232372453.0,4316423491811.0,4246637555374.0,4356328111572.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-4690871676.0,-4690871676.0,-4690871676.0,-4690871676.0
Tài sản lưu động khác,Other current assets,other_current_assets,333792522630.0,36183018608.0,31572038788.0,56780223783.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,17815734199.0,33309982278.0,28886751563.0,51739654663.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,1746835210.0,1978032497.0,1766891373.0,4245029652.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,791525018.0,895003833.0,918395852.0,795539468.0
Tài sản lưu động khác,Other current assets,other_current_assets,313438428203.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,3140831049461.0,2993051276261.0,2963993855386.0,2849763212256.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,212936269542.0,212936269542.0,212936269542.0,117053467975.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,162953401567.0,162953401567.0,162953401567.0,67070600000.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,0.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,211186260799.0,213083292900.0,214329600985.0,215727754569.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,210470342299.0,212362478367.0,213603890419.0,214997147970.0
Nguyên giá TSCĐ hữu hình,Cost,cost,329886179986.0,329624762060.0,328758662060.0,328066554282.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-119415837687.0,-117262283693.0,-115154771641.0,-113069406312.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,0.0,0.0,0.0,0.0
Nguyên giá tài sản thuê tài chính,Cost,cost,0.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,715918500.0,720814533.0,725710566.0,730606599.0
Nguyên giá TSCĐ vô hình,Cost,cost,999212051.0,999212051.0,999212051.0,999212051.0
Khấu hao lũy kế TSCĐ vô hình,Accumulated depreciation,accumulated_depreciation,-283293551.0,-278397518.0,-273501485.0,-268605452.0
Xây dựng cơ bản đang dang dở (trước 2015),Construction in progress (before 2015),construction_in_progress_before_2015,0.0,0.0,0.0,0.0
Giá trị ròng tài sản đầu tư,Investment properties,investment_properties,3481339988.0,3639668435.0,3797996882.0,3956325329.0
Nguyên giá tài sản đầu tư,Cost,cost,15832845014.0,15832845014.0,15832845014.0,15832845014.0
Khấu hao lũy kế tài sản đầu tư,Accumulated depreciation,accumulated_depreciation,-12351505026.0,-12193176579.0,-12034848132.0,-11876519685.0
Đầu tư dài hạn,Long-term investments,long_term_investments,41931268026.0,41931268026.0,41931268026.0,42270283007.0
Đầu tư vào các công ty con,Investments in subsidiaries,investments_in_subsidiaries,0.0,0.0,0.0,0.0
Đầu tư vào các công ty liên kết,Investments in associates,investments_in_associates,0.0,0.0,0.0,0.0
Đầu tư dài hạn khác,Other long-term investments,other_long_term_investments,58243068750.0,58243068750.0,58243068750.0,58243068750.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,provision_for_long_term_investments,-16311800724.0,-16311800724.0,-16311800724.0,-15972785743.0
Lợi thế thương mại (trước 2015),Goodwill (before 2015),goodwill_before_2015,0.0,0.0,0.0,0.0
Tài sản dài hạn khác,Other long-term assets,other_long_term_assets,31670150109.0,27046992290.0,36453782941.0,27141945478.0
Trả trước dài hạn,Long-term prepayments,long_term_prepayments,18843305288.0,10295176667.0,11539272400.0,12893184198.0
Thuế thu nhập hoãn lại,Deferred income tax assets,deferred_income_tax_assets,12826844821.0,16751815623.0,24914510541.0,14248761280.0
Các tài sản dài hạn khác,Other long-term assets,other_long_term_assets,0.0,0.0,0.0,0.0
TỔNG CỘNG TÀI SẢN,Total Assets,total_assets,8411472206853.0,7991490059389.0,7880010002298.0,8045579656168.0
NỢ PHẢI TRẢ,Liabilities,liabilities,4552631271006.0,4374942081675.0,4434659289265.0,4788717025007.0
Nợ ngắn hạn,Current liabilities,current_liabilities,1868859499137.0,1891590666373.0,2181139358889.0,2201992024089.0
Vay ngắn hạn,Short-term borrowings,short_term_borrowings,335880000000.0,335880000000.0,335880000000.0,148380000000.0
Phải trả người bán,Trade accounts payable,trade_accounts_payable,112546845806.0,95419667095.0,91686333371.0,91400187677.0
Người mua trả tiền trước,Advances from customers,advances_from_customers,17929811425.0,478990538343.0,681101864139.0,683259700391.0
Thuế và các khoản phải trả Nhà nước,Taxes and other payable to State Budget,taxes_and_other_payable_to_state_budget,104380162844.0,51415143692.0,117892685242.0,47074599779.0
Phải trả người lao động,Payable to employees,payable_to_employees,18113106027.0,13532952448.0,17999260531.0,13739799424.0
Chi phí phải trả,Accrued expenses,accrued_expenses,500704308738.0,452734005044.0,422601890034.0,596832817400.0
Phải trả nội bộ,Intercompany payables,intercompany_payables,0.0,0.0,0.0,0.0
Phải trả về xây dựng cơ bản,Construction contract in progress payables,construction_contract_in_progress_payables,0.0,0.0,0.0,0.0
Phải trả khác,Other payables,other_payables,685823247435.0,370671591438.0,420754330980.0,528081305281.0
