item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,11560790967899.0,11583272425967.0,11299127185804.0,10589162240081.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,2848687034313.0,3241210030639.0,3811436397959.0,3668623576641.0
Tiền,Cash,cash,709154304177.0,1062615030639.0,624039397959.0,1008148576641.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,2139532730136.0,2178595000000.0,3187397000000.0,2660475000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,2450105358909.0,2398066692878.0,1459344220559.0,1050965308949.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,4369400766489.0,4257766147794.0,4414386288023.0,3546797938602.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,2543229146218.0,2545708161685.0,3028369332503.0,1997316003969.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,955499988503.0,1054249628436.0,537785041856.0,736688846565.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,42365404245.0,7467863467.0,7467863467.0,7467863467.0
Phải thu khác,Other receivables,other_receivables,986321948604.0,819672845839.0,825309695323.0,592007466712.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-158015721081.0,-169332351633.0,-172126212456.0,-94416809441.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,1685005167284.0,1509591082470.0,1483497993111.0,2177748223861.0
Hàng tồn kho,Inventories,inventories,1722340194779.0,1546926109965.0,1520833020606.0,2177872765500.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-37335027495.0,-37335027495.0,-37335027495.0,-124541639.0
Tài sản lưu động khác,Other current assets,other_current_assets,207592640904.0,176638472186.0,130462286152.0,145027192028.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,20812730932.0,29771810822.0,22142767403.0,27544212763.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,184152128817.0,145379443623.0,107231116588.0,113960223841.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,2627781155.0,1487217741.0,1088402161.0,1042754816.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,2480000608.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,13309984830114.0,13256764274670.0,13263743647409.0,12944802792000.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,18159792065.0,18159792065.0,16922827065.0,24675804261.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,18159792065.0,18159792065.0,16922827065.0,24675804261.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,0.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,9078343050033.0,9259492692803.0,9489296627445.0,9682759524198.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,7986696284241.0,8150282131360.0,8366329251858.0,8553496317232.0
Nguyên giá TSCĐ hữu hình,Cost,cost,12711943238684.0,12685374581222.0,12760050714276.0,12763578351879.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-4725246954443.0,-4535092449862.0,-4393721462418.0,-4210082034647.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,0.0,0.0,0.0,0.0
Nguyên giá tài sản thuê tài chính,Cost,cost,0.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,1091646765792.0,1109210561443.0,1122967375587.0,1129263206966.0
Nguyên giá TSCĐ vô hình,Cost,cost,1393881167852.0,1393705127852.0,1393705127852.0,1383972221252.0
Khấu hao lũy kế TSCĐ vô hình,Accumulated depreciation,accumulated_depreciation,-302234402060.0,-284494566409.0,-270737752265.0,-254709014286.0
Xây dựng cơ bản đang dang dở (trước 2015),Construction in progress (before 2015),construction_in_progress_before_2015,0.0,0.0,0.0,0.0
Giá trị ròng tài sản đầu tư,Investment properties,investment_properties,84692106273.0,89269928028.0,93837530376.0,98425571538.0
Nguyên giá tài sản đầu tư,Cost,cost,536802861074.0,536802861074.0,536802861074.0,536802861074.0
Khấu hao lũy kế tài sản đầu tư,Accumulated depreciation,accumulated_depreciation,-452110754801.0,-447532933046.0,-442965330698.0,-438377289536.0
Đầu tư dài hạn,Long-term investments,long_term_investments,1500571494680.0,1481200782274.0,1781595101433.0,1763598186392.0
